A,ProductName,InArea,MbaId,ProductSerialNumber,commodity,AnnualConsumption,StartDate,ContractDuration,OrderDate,Status,PriceGuarantee,PriceDate,PriceChange,OrigBaseCosts,OrigKwhCosts,OrigKwhMargin,OrigbaseMargin,CurrentBasePriceNet,CurrentKwhPriceNet,CatalogBasePrice,CatalogKwhPrice,CurrentBaseCost,CurrentKwhCost,CurrentKwhRohmarge,CurrentBaseRohmarge,BaseNewPriceProposed,KwhNewPriceProposed,NewPriceInclude,NewPriceStartdate,CurrentBaseTargetMargin,CurrentKwhTargetMargin
A2,12,False,31241879,97970692,power,1864,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31586032,8001634596,power,4113,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31338458,98987698,power,3801,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31696400,8004217711,power,2844,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-0994207397,ev-hkiqv6323,power,3180,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,63.58,22.75,0.1,2.0,65.58,22.85,96.64,34.8,89.7,19.503,3.3470000000000013,-24.120000000000005,91.7,19.599999999999998,,,6.94,15.3
A2,12,False,en-0994207397,ev-smqlc0520,gas,15086,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-8899176138,ev-mwgtm5918,gas,10,2021-01-04,2022-01-03 00:00:00,2021-01-04,active,2022-01-03 00:00:00,2020-10-01,False,84.3,4.1152,0.15,32.0,116.3,4.27,162.58,15.36,130.58,4.6089,-0.33890000000000065,-14.280000000000015,162.58,4.76,,,32.0,10.75
A2,12,False,31443847,ev-pymaj9263,power,2355,2021-01-26,2022-01-25 00:00:00,2021-01-04,active,2022-01-25 00:00:00,2020-10-01,False,98.84,22.9,0.7,24.0,122.84,23.6,146.49,37.11,129.1,20.013,3.5869999999999997,-6.259999999999991,153.10000000000002,20.709999999999997,,,17.39,17.1
A2,12,False,en-9354477482,ev-mjeyi5106,power,2500,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-2623824196,ev-vjlyd5508,gas,6931,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-2623824196,ev-lpetg0502,power,1636,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
